ABR_site,Treatment,sex,total_videos
ABR01,PIG,female,1
ABR01,COYOTE,female,1
ABR01,PIG,female,1
ABR01,PIG,male,1
ABR01,PIG,male,1
ABR02,COYOTE,male,1
ABR02,CONTROL,female,1
ABR02,COYOTE,female,1
ABR02,PIG,female,1
ABR02,CONTROL,female,1
ABR02,PIG,female,1
ABR02,COYOTE,female,1
ABR02,CONTROL,female,1
ABR02,COYOTE,female,1
ABR02,PIG,female,1
ABR02,PIG,female,1
ABR02,COYOTE,female,1
ABR02,PIG,female,1
ABR02,PIG,female,1
ABR02,PIG,female,1
ABR02,PIG,female,1
ABR02,COYOTE,female,1
ABR02,COYOTE,female,1
ABR02,COYOTE,female,1
ABR02,CONTROL,male,1
ABR02,PIG,male,1
ABR03,PIG,female,1
ABR03,COYOTE,female,1
ABR03,PIG,female,1
ABR03,PIG,female,1
ABR03,COYOTE,female,1
ABR03,CONTROL,female,3
ABR03,COYOTE,male,1
ABR03,COYOTE,female,1
ABR03,PIG,male,1
ABR03,COYOTE,female,1
ABR03,PIG,female,1
ABR03,COYOTE,female,1
ABR03,CONTROL,male,3
ABR03,COYOTE,male,1
ABR03,COYOTE,female,1
ABR03,COYOTE,female,1
ABR03,COYOTE,female,1
ABR03,COYOTE,female,1
ABR03,PIG,female,1
ABR03,PIG,female,1
ABR03,PIG,female,1
ABR03,PIG,female,1
ABR03,COYOTE,female,1
ABR03,PIG,female,1
ABR03,COYOTE,female,1
ABR03,CONTROL,female,3
ABR03,COYOTE,female,1
ABR03,COYOTE,female,1
ABR03,COYOTE,female,1
ABR04,COYOTE,male,4
ABR04,PIG,male,1
ABR04,PIG,male,1
ABR04,CONTROL,male,3
ABR04,CONTROL,male,3
ABR04,CONTROL,male,3
ABR04,COYOTE,male,4
ABR04,PIG,male,1
ABR04,PIG,male,1
ABR04,CONTROL,male,3
ABR04,COYOTE,male,4
ABR04,COYOTE,male,4
ABR04,PIG,male,1
ABR04,CONTROL,male,3
ABR04,CONTROL,male,3
ABR04,PIG,male,1
ABR04,PIG,male,1
ABR04,CONTROL,male,3
ABR04,CONTROL,male,3
ABR04,COYOTE,male,4
ABR04,PIG,male,1
ABR05,CONTROL,female,4
ABR05,PIG,female,3
ABR05,PIG,male,3
ABR05,COYOTE,male,1
ABR05,PIG,male,3
ABR05,PIG,female,3
ABR05,PIG,male,3
ABR05,CONTROL,female,4
ABR05,COYOTE,female,1
ABR05,PIG,male,3
ABR05,CONTROL,female,4
ABR06,CONTROL,male,1
ABR06,PIG,male,2
ABR06,PIG,female,2
ABR06,COYOTE,female,6
ABR06,CONTROL,male,1
ABR06,PIG,female,2
ABR06,COYOTE,male,6
ABR06,COYOTE,female,6
ABR06,PIG,female,2
ABR06,CONTROL,female,1
ABR06,CONTROL,male,1
ABR06,PIG,male,2
ABR06,PIG,male,2
ABR06,PIG,female,2
ABR06,COYOTE,male,6
ABR06,CONTROL,female,1
ABR06,COYOTE,female,6
ABR06,COYOTE,female,6
ABR06,COYOTE,female,6
ABR06,PIG,female,2
ABR06,COYOTE,female,6
ABR06,CONTROL,female,1
ABR06,CONTROL,female,1
ABR06,PIG,male,2
ABR06,PIG,female,2
ABR06,PIG,female,2
ABR06,PIG,male,2
ABR06,PIG,female,2
ABR07,COYOTE,male,1
ABR07,COYOTE,female,1
ABR07,CONTROL,male,3
ABR07,COYOTE,male,1
ABR07,COYOTE,male,1
ABR07,CONTROL,male,3
ABR07,CONTROL,male,3
ABR07,CONTROL,female,3
ABR07,COYOTE,female,1
ABR07,COYOTE,female,1
ABR07,PIG,male,1
ABR07,PIG,male,1
ABR07,PIG,male,1
ABR07,PIG,female,1
ABR07,PIG,female,1
ABR07,CONTROL,male,3
ABR07,CONTROL,female,3
ABR08,CONTROL,male,22
ABR08,PIG,male,2
ABR08,PIG,male,2
ABR08,COYOTE,male,1
ABR08,CONTROL,male,22
ABR08,CONTROL,male,22
ABR08,PIG,male,2
ABR09,PIG,female,1
ABR09,COYOTE,female,1
ABR09,COYOTE,female,1
ABR09,CONTROL,female,4
ABR09,COYOTE,female,1
ABR09,CONTROL,female,4
ABR09,COYOTE,female,1
ABR09,COYOTE,female,1
ABR09,PIG,female,1
ABR09,PIG,female,1
ABR09,COYOTE,female,1
ABR09,CONTROL,female,4
ABR09,PIG,female,1
ABR09,PIG,female,1
ABR09,COYOTE,female,1
ABR09,PIG,female,1
ABR09,CONTROL,female,4
ABR09,PIG,female,1
ABR09,CONTROL,female,4
ABR09,CONTROL,female,4
ABR10,COYOTE,male,9
ABR10,COYOTE,male,9
ABR10,COYOTE,female,9
ABR10,CONTROL,male,1
ABR10,CONTROL,male,1
ABR10,COYOTE,female,9
ABR10,PIG,male,1
ABR10,COYOTE,female,9
ABR10,PIG,male,1
ABR10,PIG,female,1
ABR10,COYOTE,male,9
ABR10,COYOTE,male,9
