ABR_site,Treatment,sex,fled
ABR01,PIG,female,1
ABR01,COYOTE,female,1
ABR01,PIG,female,1
ABR01,PIG,male,1
ABR01,PIG,male,1
ABR02,COYOTE,male,0
ABR02,CONTROL,female,1
ABR02,COYOTE,female,1
ABR02,PIG,female,1
ABR02,CONTROL,female,1
ABR02,PIG,female,0
ABR02,COYOTE,female,1
ABR02,CONTROL,female,1
ABR02,COYOTE,female,1
ABR02,PIG,female,1
ABR02,PIG,female,1
ABR02,COYOTE,female,1
ABR02,PIG,female,1
ABR02,PIG,female,1
ABR02,PIG,female,1
ABR02,PIG,female,1
ABR02,COYOTE,female,1
ABR02,COYOTE,female,1
ABR02,COYOTE,female,1
ABR02,CONTROL,male,0
ABR02,PIG,male,0
ABR03,PIG,female,1
ABR03,COYOTE,female,1
ABR03,PIG,female,1
ABR03,PIG,female,1
ABR03,COYOTE,female,1
ABR03,CONTROL,female,0
ABR03,COYOTE,male,0
ABR03,COYOTE,female,0
ABR03,PIG,male,1
ABR03,COYOTE,female,1
ABR03,PIG,female,1
ABR03,COYOTE,female,1
ABR03,CONTROL,male,0
ABR03,COYOTE,male,0
ABR03,COYOTE,female,1
ABR03,COYOTE,female,1
ABR03,COYOTE,female,1
ABR03,COYOTE,female,1
ABR03,PIG,female,1
ABR03,PIG,female,1
ABR03,PIG,female,1
ABR03,PIG,female,1
ABR03,COYOTE,female,1
ABR03,PIG,female,1
ABR03,COYOTE,female,1
ABR03,CONTROL,female,0
ABR03,COYOTE,female,1
ABR03,COYOTE,female,0
ABR03,COYOTE,female,1
ABR04,COYOTE,male,1
ABR04,PIG,male,1
ABR04,PIG,male,1
ABR04,CONTROL,male,0
ABR04,CONTROL,male,0
ABR04,CONTROL,male,0
ABR04,COYOTE,male,0
ABR04,PIG,male,1
ABR04,PIG,male,1
ABR04,CONTROL,male,0
ABR04,COYOTE,male,1
ABR04,COYOTE,male,1
ABR04,PIG,male,1
ABR04,CONTROL,male,0
ABR04,CONTROL,male,0
ABR04,PIG,male,1
ABR04,PIG,male,1
ABR04,CONTROL,male,0
ABR04,CONTROL,male,0
ABR04,COYOTE,male,0
ABR04,PIG,male,0
ABR05,CONTROL,female,0
ABR05,PIG,female,0
ABR05,PIG,male,1
ABR05,COYOTE,male,0
ABR05,PIG,male,0
ABR05,PIG,female,0
ABR05,PIG,male,0
ABR05,CONTROL,female,0
ABR05,COYOTE,female,0
ABR05,PIG,male,0
ABR05,CONTROL,female,0
ABR06,CONTROL,male,0
ABR06,PIG,male,1
ABR06,PIG,female,1
ABR06,COYOTE,female,0
ABR06,CONTROL,male,0
ABR06,PIG,female,1
ABR06,COYOTE,male,0
ABR06,COYOTE,female,0
ABR06,PIG,female,0
ABR06,CONTROL,female,1
ABR06,CONTROL,male,0
ABR06,PIG,male,0
ABR06,PIG,male,1
ABR06,PIG,female,1
ABR06,COYOTE,male,0
ABR06,CONTROL,female,0
ABR06,COYOTE,female,1
ABR06,COYOTE,female,0
ABR06,COYOTE,female,0
ABR06,PIG,female,1
ABR06,COYOTE,female,0
ABR06,CONTROL,female,0
ABR06,CONTROL,female,0
ABR06,PIG,male,0
ABR06,PIG,female,0
ABR06,PIG,female,0
ABR06,PIG,male,1
ABR06,PIG,female,1
ABR07,COYOTE,male,1
ABR07,COYOTE,female,1
ABR07,CONTROL,male,1
ABR07,COYOTE,male,1
ABR07,COYOTE,male,1
ABR07,CONTROL,male,0
ABR07,CONTROL,male,0
ABR07,CONTROL,female,0
ABR07,COYOTE,female,1
ABR07,COYOTE,female,1
ABR07,PIG,male,1
ABR07,PIG,male,1
ABR07,PIG,male,1
ABR07,PIG,female,1
ABR07,PIG,female,1
ABR07,CONTROL,male,0
ABR07,CONTROL,female,0
ABR08,CONTROL,male,0
ABR08,PIG,male,0
ABR08,PIG,male,0
ABR08,COYOTE,male,0
ABR08,CONTROL,male,0
ABR08,CONTROL,male,0
ABR08,PIG,male,0
ABR09,PIG,female,1
ABR09,COYOTE,female,1
ABR09,COYOTE,female,1
ABR09,CONTROL,female,0
ABR09,COYOTE,female,1
ABR09,CONTROL,female,1
ABR09,COYOTE,female,1
ABR09,COYOTE,female,0
ABR09,PIG,female,1
ABR09,PIG,female,0
ABR09,COYOTE,female,0
ABR09,CONTROL,female,0
ABR09,PIG,female,1
ABR09,PIG,female,0
ABR09,COYOTE,female,0
ABR09,PIG,female,1
ABR09,CONTROL,female,0
ABR09,PIG,female,0
ABR09,CONTROL,female,1
ABR09,CONTROL,female,0
ABR10,COYOTE,male,1
ABR10,COYOTE,male,1
ABR10,COYOTE,female,1
ABR10,CONTROL,male,1
ABR10,CONTROL,male,1
ABR10,COYOTE,female,1
ABR10,PIG,male,1
ABR10,COYOTE,female,1
ABR10,PIG,male,1
ABR10,PIG,female,1
ABR10,COYOTE,male,1
ABR10,COYOTE,male,1
